Time,Inputshaft_rpm,Propeller_torque,InputShaft_torque,ShipSpeed
23.717000000006,78.4720525599208,48789.3989997608,17321.6214200077,5
23.718000000006,78.4588625999263,48749.5607997652,17322.8973500073,5
23.719000000006,78.4465838099327,48710.4618997726,17324.1160400069,5
23.720000000006,78.4353693599399,48672.5808997826,17325.2618500064,5
23.721000000006,78.4253593099479,48636.3854997954,17326.3201700058,5
23.722000000006,78.4166787699565,48602.3263998107,17327.2776200051,5
23.723000000006,78.4094363599657,48570.8220998283,17328.1222100043,5
23.724000000006,78.4037227899753,48542.2558998481,17328.8435000035,5
23.725000000006,78.3996096999852,48516.9803998697,17329.4327000027,5
23.726000000006,78.3971487599953,48495.3104998929,17329.8827700018,5
23.727000000006,78.3963709800055,48477.5104999175,17330.1884900009,5
23.728000000006,78.3972863000156,48463.7954999431,17330.3464900001,5
23.729000000006,78.3998834700256,48454.3362999694,17330.3552699992,5
23.730000000006,78.4041301900352,48449.2532999961,17330.2151299983,5
23.731000000006,78.4099734900443,48448.6070000229,17329.9281899974,5
23.732000000006,78.417340440053,48452.4027000494,17329.4982899966,5
23.733000000006,78.4261390600609,48460.5979000753,17328.9308999958,5
23.734000000006,78.4362594800681,48473.0962001002,17328.2330599951,5
23.735000000006,78.4475753700745,48489.741900124,17327.4132099944,5
23.736000000006,78.45994555008,48510.3290001463,17326.4811299938,5
23.737000000006,78.4732157400844,48534.6094001669,17325.4477699932,5
23.738000000006,78.4872205700878,48562.2881001853,17324.3251199928,5
23.739000000006,78.5017856700901,48593.0209002014,17323.1261199924,5
23.740000000006,78.5167298200913,48626.4288002152,17321.8644499921,5
23.741000000006,78.5318673000913,48662.1051002263,17320.5544599919,5
23.742000000006,78.5470101500903,48699.6109002345,17319.2109999918,5
23.743000000006,78.5619705600881,48738.4789002399,17317.8492699918,5
23.744000000006,78.5765631600848,48778.2282002423,17316.4846899918,5
23.745000000006,78.5906073600804,48818.3714002417,17315.132769992,5
23.746000000006,78.6039295400751,48858.4105002382,17313.8089099923,5
23.747000000006,78.6163651500688,48897.8443002315,17312.5283299926,5
23.748000000006,78.6277607800617,48936.1833002221,17311.3058299931,5
23.749000000006,78.6379759600539,48972.95480021,17310.1556899936,5
23.750000000006,78.6468849100453,49007.6996001951,17309.0914699942,5
23.751000000006,78.6543779900362,49039.9804001778,17308.1258699948,5
23.752000000006,78.6603630900266,49069.3961001583,17307.2705599956,5
23.753000000006,78.6647666600167,49095.5836001368,17306.5359899963,5
23.754000000006,78.6675346300066,49118.2138001136,17305.9312799972,5
23.755000000006,78.6686330599965,49137.000500089,17305.464049998,5
23.7560000000061,78.6680485099863,49151.7120000633,17305.1402799989,5
23.7570000000061,78.6657882099764,49162.1685000367,17304.9641999998,5
23.7580000000061,78.6618799899667,49168.2373000097,17304.9382000008,5
23.7590000000061,78.6563719299574,49169.8406999826,17305.0627500017,5
23.7600000000061,78.6493317999486,49166.9634999557,17305.3363600025,5
23.7610000000061,78.6408462199405,49159.6464999293,17305.7555500034,5
23.7620000000061,78.6310196699331,49147.9792999039,17306.3148900042,5
23.7630000000061,78.6199731899265,49132.1077998796,17307.0070600049,5
23.7640000000061,78.6078429399208,49112.2368998569,17307.8228900056,5
23.7650000000061,78.5947785899161,49088.6190998359,17308.7514900062,5
23.7660000000061,78.5809414299124,49061.5472998169,17309.7804500068,5
23.7670000000061,78.5665024899099,49031.3604998004,17310.8959300072,5
23.7680000000061,78.5516403799084,48998.4422997863,17312.0829200075,5
23.7690000000061,78.5365391699081,48963.2051997748,17313.3254300078,5
23.7700000000061,78.5213860399089,48926.0852997661,17314.6067300079,5
23.7710000000061,78.5063690599108,48887.5462997605,17315.9096300079,5
23.7720000000061,78.4916747499139,48848.0729997576,17317.2166900079,5
23.7730000000061,78.477485849918,48808.1559997579,17318.5104900077,5
23.7740000000061,78.4639789799231,48768.2868997612,17319.7738800074,5
23.7750000000061,78.4513224199292,48728.9615997674,17320.990260007,5
23.7760000000061,78.4396740099362,48690.6715997765,17322.1437500065,5
23.7770000000061,78.4291791199441,48653.8888997884,17323.219450006,5
23.7780000000061,78.4199688599525,48619.0642998028,17324.2036200054,5
23.7790000000061,78.4121583599616,48586.6295998198,17325.0838500047,5
23.7800000000061,78.4058452999712,48556.988899839,17325.8492200039,5
23.7810000000061,78.4011087199811,48530.5046998601,17326.4903900031,5
23.7820000000061,78.3980079299913,48507.500099883,17326.9997400023,5
23.7830000000061,78.3965818000016,48488.2610999074,17327.3714200014,5
23.7840000000061,78.3968482300119,48473.0280999328,17327.6013600005,5
23.7850000000061,78.398803940022,48461.9854999591,17327.6873399996,5
23.7860000000061,78.4024245000319,48455.266999986,17327.6289499988,5
23.7870000000061,78.4076646400414,48452.959800013,17327.4275299979,5
23.7880000000061,78.4144588100503,48455.0957000399,17327.0861999971,5
23.7890000000061,78.4227220500586,48461.6455000663,17326.6097099963,5
23.7900000000061,78.4323510600663,48472.5283000919,17326.0043799956,5
23.7910000000061,78.443225510073,48487.6161001164,17325.2780199949,5
23.7920000000061,78.4552095900789,48506.7261001395,17324.4397899943,5
23.7930000000061,78.4681537000838,48529.6200001609,17323.5000799937,5
23.7940000000061,78.4818964100876,48556.0169001803,17322.4704299933,5
23.7950000000061,78.4962664500903,48585.5973001975,17321.3632999929,5
23.7960000000061,78.511084880092,48617.9978002124,17320.1920499926,5
23.7970000000061,78.5261673800925,48652.8148002245,17318.9706899923,5
23.7980000000061,78.5413264900918,48689.619900234,17317.7138099922,5
